"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = NPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"3/8''-18 ";"34,0 ";"14,0 ";"15,3 ";"6,0 ";"6,0 ";"19 ";"1252810-06-06 ";"5,78 ";"";"2027 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/2''-14 ";"43,0 ";"14,0 ";"20,0 ";"7,5 ";"13,0 ";"22 ";"1252810-06-08 ";"7,5 ";"";"2028 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/4''-18 ";"39,0 ";"17,0 ";"15,0 ";"9,0 ";"5,0 ";"19 ";"1252810-08-04 ";"7,2 ";"";"2029 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"3/8''-18 ";"39,0 ";"17,0 ";"15,3 ";"9,0 ";"9,0 ";"19 ";"1252810-08-06 ";"7,2 ";"";"2030 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/2''-14 ";"45,7 ";"17,0 ";"20,0 ";"9,5 ";"9,5 ";"22 ";"1252810-08-08 ";"7,85 ";"";"2031 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"3/4''-14 ";"47,2 ";"17,0 ";"20,0 ";"9,5 ";"17,0 ";"27 ";"1252810-08-12 ";"8,95 ";"";"2032 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/8''-18 ";"42,0 ";"19,5 ";"15,3 ";"12,0 ";"9,0 ";"24 ";"1252810-10-06 ";"8,65 ";"";"2033 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"1/2''-14 ";"48,0 ";"19,5 ";"20,0 ";"12,0 ";"12,0 ";"24 ";"1252810-10-08 ";"9,4 ";"";"2034 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/4''-14 ";"48,2 ";"19,5 ";"20,0 ";"12,0 ";"18,0 ";"27 ";"1252810-10-12 ";"9,9 ";"";"2035 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"3/8''-18 ";"47,0 ";"22,0 ";"15,3 ";"15,0 ";"9,0 ";"27 ";"1252810-12-06 ";"36,8 ";"";"2036 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1/2''-14 ";"52,2 ";"22,0 ";"20,0 ";"15,0 ";"13,5 ";"27 ";"1252810-12-08 ";"12,25 ";"";"2037 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"3/4''-14 ";"52,3 ";"22,0 ";"20,0 ";"15,0 ";"15,0 ";"27 ";"1252810-12-12 ";"12,25 ";"";"2038 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1''-11,5 ";"57,5 ";"22,0 ";"25,0 ";"15,0 ";"21,0 ";"36 ";"1252810-12-16 ";"25,1 ";"";"2039 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1/2''-14 ";"53,2 ";"23,0 ";"20,0 ";"21,0 ";"13,5 ";"36 ";"1252810-16-08 ";"25,1 ";"";"2040 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"3/4''-14 ";"53,0 ";"23,0 ";"20,0 ";"21,0 ";"18,0 ";"36 ";"1252810-16-12 ";"18,75 ";"";"2041 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1''-11,5 ";"58,0 ";"23,0 ";"25,0 ";"21,0 ";"21,0 ";"36 ";"1252810-16-16 ";"18,75 ";"";"2042 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1 1/4''-11,5 ";"58,0 ";"23,0 ";"25,5 ";"21,0 ";"31,7 ";"46 ";"1252810-16-20 ";"36,5 ";"";"2043 "
"210 ";"25 ";"1'' ";"1 5/16''-12 ";"1 1/2''-11,5 ";"62,0 ";"23,0 ";"26,0 ";"21,0 ";"32,0 ";"50 ";"1252810-16-24 ";"44,5 ";"";"2094 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1''-11,5 ";"62,0 ";"24,3 ";"25,0 ";"26,5 ";"21,0 ";"46 ";"1252810-20-16 ";"30 ";"";"2095 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/4''-11,5 ";"62,0 ";"24,3 ";"25,5 ";"26,5 ";"31,7 ";"46 ";"1252810-20-20 ";"30 ";"";"2096 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/2''-11,5 ";"64,8 ";"24,3 ";"26,0 ";"26,5 ";"38,0 ";"50 ";"1252810-20-24 ";"44,5 ";"";"2097 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/2''-11,5 ";"68,0 ";"27,5 ";"26,0 ";"32,0 ";"32,0 ";"50 ";"1252810-24-24 ";"35 ";"";"2098 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/4''-11,5 ";"66,0 ";"27,5 ";"25,5 ";"31,7 ";"31,7 ";"50 ";"1252810-24-20 ";"35 ";"";"2099 "
"150 ";"50 ";"2'' ";"2 1/2''-12 ";"2''-11,5 ";"72,0 ";"33,9 ";"26,0 ";"45,0 ";"45,0 ";"65 ";"1252810-32-32 ";"68,9 ";"";"2100 "
