"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Rohr A.D.  Tube O.D.  D3";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"15 ";"22 ";"15 ";"27 ";"36 ";"27 ";"27 ";"TRV-L-15/22/15 ";"107,24 ";"L ";"3163 "
"400 ";"18 ";"8 ";"18 ";"32 ";"17 ";"32 ";"24 ";"TRV-L-18/08/18 ";"88,05 ";"L ";"3165 "
"400 ";"18 ";"10 ";"10 ";"32 ";"19 ";"19 ";"24 ";"TRV-L-18/10/10 ";"84,53 ";"L ";"3166 "
"400 ";"18 ";"10 ";"18 ";"32 ";"19 ";"32 ";"24 ";"TRV-L-18/10/18 ";"88,09 ";"L ";"3167 "
"400 ";"18 ";"12 ";"18 ";"32 ";"22 ";"32 ";"24 ";"TRV-L-18/12/18 ";"88,18 ";"L ";"3168 "
"400 ";"18 ";"15 ";"18 ";"32 ";"27 ";"32 ";"24 ";"TRV-L-18/15/18 ";"89,06 ";"L ";"3169 "
"400 ";"18 ";"18 ";"10 ";"32 ";"32 ";"19 ";"24 ";"TRV-L-18/18/10 ";"88,09 ";"L ";"3170 "
"250 ";"22 ";"10 ";"22 ";"36 ";"19 ";"36 ";"27 ";"TRV-L-22/10/22 ";"110,06 ";"L ";"3171 "
"250 ";"22 ";"12 ";"22 ";"36 ";"22 ";"36 ";"27 ";"TRV-L-22/12/22 ";"110 ";"L ";"3172 "
"250 ";"22 ";"15 ";"15 ";"36 ";"27 ";"27 ";"27 ";"TRV-L-22/15/15 ";"107,24 ";"L ";"3173 "
"250 ";"22 ";"15 ";"22 ";"36 ";"27 ";"36 ";"27 ";"TRV-L-22/15/22 ";"110,75 ";"L ";"3174 "
"250 ";"22 ";"18 ";"18 ";"36 ";"32 ";"32 ";"27 ";"TRV-L-22/18/18 ";"113,47 ";"L ";"3175 "
"250 ";"22 ";"18 ";"22 ";"36 ";"32 ";"36 ";"27 ";"TRV-L-22/18/22 ";"113,86 ";"L ";"3176 "
"250 ";"22 ";"22 ";"15 ";"36 ";"36 ";"27 ";"27 ";"TRV-L-22/22/15 ";"113,86 ";"L ";"11765 "
"250 ";"22 ";"22 ";"18 ";"36 ";"36 ";"32 ";"27 ";"TRV-L-22/22/18 ";"113,86 ";"L ";"3177 "
"250 ";"28 ";"10 ";"28 ";"41 ";"19 ";"41 ";"36 ";"TRV-L-28/10/28 ";"172,58 ";"L ";"3178 "
"250 ";"28 ";"12 ";"28 ";"41 ";"22 ";"41 ";"36 ";"TRV-L-28/12/28 ";"172,23 ";"L ";"3179 "
"250 ";"28 ";"15 ";"28 ";"41 ";"27 ";"41 ";"36 ";"TRV-L-28/15/28 ";"172,64 ";"L ";"3180 "
"250 ";"28 ";"18 ";"28 ";"41 ";"32 ";"41 ";"36 ";"TRV-L-28/18/28 ";"175,46 ";"L ";"3181 "
"250 ";"28 ";"22 ";"22 ";"41 ";"36 ";"36 ";"36 ";"TRV-L-28/22/22 ";"172,73 ";"L ";"3182 "
"250 ";"28 ";"22 ";"28 ";"41 ";"36 ";"41 ";"36 ";"TRV-L-28/22/28 ";"176,25 ";"L ";"3183 "
"250 ";"28 ";"28 ";"22 ";"41 ";"41 ";"36 ";"36 ";"TRV-L-28/28/22 ";"176,25 ";"L ";"11766 "
"250 ";"28 ";"35 ";"28 ";"41 ";"50 ";"41 ";"41 ";"TRV-L-28/35/28 ";"223,36 ";"L ";"3184 "
"250 ";"35 ";"10 ";"35 ";"50 ";"19 ";"50 ";"41 ";"TRV-L-35/10/35 ";"217,1 ";"L ";"11771 "
"250 ";"35 ";"12 ";"35 ";"50 ";"22 ";"50 ";"41 ";"TRV-L-35/12/35 ";"217,1 ";"L ";"3185 "
"250 ";"35 ";"15 ";"35 ";"50 ";"27 ";"50 ";"41 ";"TRV-L-35/15/35 ";"217,15 ";"L ";"3186 "
"250 ";"35 ";"18 ";"35 ";"50 ";"32 ";"50 ";"41 ";"TRV-L-35/18/35 ";"217,19 ";"L ";"3187 "
"250 ";"35 ";"22 ";"35 ";"50 ";"36 ";"50 ";"41 ";"TRV-L-35/22/35 ";"218,09 ";"L ";"3188 "
"250 ";"35 ";"28 ";"35 ";"50 ";"41 ";"50 ";"41 ";"TRV-L-35/28/35 ";"222,77 ";"L ";"3189 "
"250 ";"35 ";"42 ";"35 ";"50 ";"60 ";"50 ";"50 ";"TRV-L-35/42/35 ";"305,35 ";"L ";"3190 "
"250 ";"42 ";"12 ";"42 ";"60 ";"22 ";"60 ";"50 ";"TRV-L-42/12/42 ";"315 ";"L ";"11772 "
"250 ";"42 ";"15 ";"42 ";"60 ";"27 ";"60 ";"50 ";"TRV-L-42/15/42 ";"315 ";"L ";"3191 "
"250 ";"42 ";"18 ";"42 ";"60 ";"32 ";"60 ";"50 ";"TRV-L-42/18/42 ";"315 ";"L ";"3192 "
"250 ";"42 ";"22 ";"42 ";"60 ";"36 ";"60 ";"50 ";"TRV-L-42/22/42 ";"299,48 ";"L ";"3193 "
"250 ";"42 ";"28 ";"42 ";"60 ";"41 ";"60 ";"50 ";"TRV-L-42/28/42 ";"303,77 ";"L ";"3194 "
"250 ";"42 ";"35 ";"42 ";"60 ";"50 ";"60 ";"50 ";"TRV-L-42/35/42 ";"310,5 ";"L ";"11793 "
