"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Rohr A.D.  Tube O.D.  D3";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"16 ";"10 ";"16 ";"30 ";"22 ";"30 ";"24 ";"TRV-S-16/10/16-SC ";"91,92 ";"S ";"3076 "
"630 ";"16 ";"12 ";"12 ";"30 ";"24 ";"24 ";"24 ";"TRV-S-16/12/12-SC ";"90,1 ";"S ";"3077 "
"630 ";"16 ";"12 ";"16 ";"30 ";"24 ";"30 ";"24 ";"TRV-S-16/12/16-SC ";"92,18 ";"S ";"3078 "
"630 ";"16 ";"14 ";"16 ";"30 ";"27 ";"30 ";"24 ";"TRV-S-16/14/16-SC ";"95,63 ";"S ";"3079 "
"420 ";"16 ";"20 ";"16 ";"30 ";"36 ";"30 ";"27 ";"TRV-S-16/20/16-SC ";"117,8 ";"S ";"3080 "
"420 ";"20 ";"8 ";"20 ";"36 ";"19 ";"36 ";"27 ";"TRV-S-20/08/20-SC ";"115 ";"S ";"3081 "
"420 ";"20 ";"10 ";"20 ";"36 ";"22 ";"36 ";"27 ";"TRV-S-20/10/20-SC ";"115,2 ";"S ";"3082 "
"420 ";"20 ";"12 ";"20 ";"36 ";"24 ";"36 ";"27 ";"TRV-S-20/12/20-SC ";"115,3 ";"S ";"3083 "
"420 ";"20 ";"14 ";"20 ";"36 ";"27 ";"36 ";"27 ";"TRV-S-20/14/20-SC ";"118,82 ";"S ";"3084 "
"420 ";"20 ";"16 ";"20 ";"36 ";"30 ";"36 ";"27 ";"TRV-S-20/16/20-SC ";"118,84 ";"S ";"3085 "
"420 ";"20 ";"25 ";"20 ";"36 ";"46 ";"36 ";"36 ";"TRV-S-20/25/20-SC ";"184,1 ";"S ";"3086 "
"420 ";"25 ";"10 ";"25 ";"46 ";"22 ";"46 ";"36 ";"TRV-S-25/10/25-SC ";"188,96 ";"S ";"3087 "
"420 ";"25 ";"12 ";"25 ";"46 ";"24 ";"46 ";"36 ";"TRV-S-25/12/25-SC ";"189,34 ";"S ";"3088 "
"420 ";"25 ";"14 ";"25 ";"46 ";"27 ";"46 ";"36 ";"TRV-S-25/14/25-SC ";"191,92 ";"S ";"3089 "
"420 ";"25 ";"16 ";"25 ";"46 ";"30 ";"46 ";"36 ";"TRV-S-25/16/25-SC ";"191,92 ";"S ";"3090 "
"420 ";"25 ";"20 ";"25 ";"46 ";"36 ";"46 ";"36 ";"TRV-S-25/20/25-SC ";"193,36 ";"S ";"3091 "
"420 ";"25 ";"30 ";"25 ";"46 ";"50 ";"46 ";"41 ";"TRV-S-25/30/25-SC ";"245,7 ";"S ";"3092 "
"420 ";"30 ";"12 ";"30 ";"50 ";"24 ";"50 ";"41 ";"TRV-S-30/12/30-SC ";"231,66 ";"S ";"3093 "
"420 ";"30 ";"16 ";"30 ";"50 ";"30 ";"40 ";"41 ";"TRV-S-30/16/30-SC ";"232,62 ";"S ";"3094 "
"420 ";"30 ";"20 ";"30 ";"50 ";"36 ";"50 ";"41 ";"TRV-S-30/20/30-SC ";"234,17 ";"S ";"3095 "
"420 ";"30 ";"25 ";"30 ";"50 ";"46 ";"50 ";"41 ";"TRV-S-30/25/30-SC ";"244,59 ";"S ";"3096 "
"420 ";"30 ";"38 ";"30 ";"50 ";"60 ";"50 ";"50 ";"TRV-S-30/38/30-SC ";"330,42 ";"S ";"3097 "
"420 ";"38 ";"12 ";"38 ";"60 ";"24 ";"60 ";"50 ";"TRV-S-38/12/38-SC ";"232,62 ";"S ";"11759 "
"420 ";"38 ";"16 ";"38 ";"60 ";"30 ";"60 ";"50 ";"TRV-S-38/16/38-SC ";"321,84 ";"S ";"11782 "
"420 ";"38 ";"20 ";"38 ";"60 ";"36 ";"60 ";"50 ";"TRV-S-38/20/38-SC ";"323,1 ";"S ";"3099 "
"420 ";"38 ";"25 ";"38 ";"60 ";"46 ";"60 ";"50 ";"TRV-S-38/25/38-SC ";"333,13 ";"S ";"3100 "
"420 ";"38 ";"30 ";"38 ";"60 ";"50 ";"60 ";"50 ";"TRV-S-38/30/38-SC ";"339,34 ";"S ";"11785 "
