"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"420 ";"20 ";"6 ";"64,5 ";"23,5 ";"32 ";"17 ";"36 ";"GRV-S-20/06-SC ";"46,04 ";"S ";"2827 "
"420 ";"20 ";"8 ";"64,5 ";"21,0 ";"32 ";"19 ";"36 ";"GRV-S-20/08-SC ";"46,04 ";"S ";"2828 "
"420 ";"20 ";"10 ";"65,5 ";"22,0 ";"32 ";"22 ";"36 ";"GRV-S-20/10-SC ";"46,21 ";"S ";"2829 "
"420 ";"20 ";"12 ";"65,5 ";"22,0 ";"32 ";"24 ";"36 ";"GRV-S-20/12-SC ";"48,81 ";"S ";"2830 "
"420 ";"20 ";"14 ";"68,5 ";"23,0 ";"32 ";"27 ";"36 ";"GRV-S-20/14-SC ";"53,47 ";"S ";"2831 "
"420 ";"20 ";"16 ";"69,5 ";"23,0 ";"32 ";"30 ";"36 ";"GRV-S-20/16-SC ";"55,59 ";"S ";"2832 "
"420 ";"25 ";"6 ";"";"";"41 ";"17 ";"46 ";"GRV-S-25/06-SC ";"";"S ";"2833 "
"420 ";"25 ";"8 ";"71,5 ";"26,5 ";"41 ";"19 ";"46 ";"GRV-S-25/08-SC ";"85,15 ";"S ";"2834 "
"420 ";"25 ";"10 ";"72,5 ";"27,5 ";"41 ";"22 ";"46 ";"GRV-S-25/10-SC ";"85,27 ";"S ";"2835 "
"420 ";"25 ";"12 ";"72,5 ";"24,0 ";"41 ";"24 ";"46 ";"GRV-S-25/12-SC ";"85,55 ";"S ";"2836 "
"420 ";"25 ";"14 ";"74,5 ";"26,5 ";"41 ";"27 ";"46 ";"GRV-S-25/14-SC ";"86,37 ";"S ";"2837 "
"420 ";"25 ";"16 ";"74,5 ";"25,5 ";"41 ";"30 ";"46 ";"GRV-S-25/16-SC ";"86,37 ";"S ";"2838 "
"420 ";"25 ";"20 ";"79,0 ";"25,5 ";"41 ";"36 ";"46 ";"GRV-S-25/20-SC ";"91,8 ";"S ";"2839 "
"420 ";"30 ";"10 ";"74,5 ";"25,0 ";"46 ";"22 ";"50 ";"GRV-S-30/10-SC ";"118,74 ";"S ";"2840 "
"420 ";"30 ";"12 ";"74,5 ";"27,0 ";"46 ";"24 ";"50 ";"GRV-S-30/12-SC ";"119,02 ";"S ";"2841 "
"420 ";"30 ";"14 ";"";"";"46 ";"27 ";"50 ";"GRV-S-30/14-SC ";"119,74 ";"S ";"2842 "
"420 ";"30 ";"16 ";"78,5 ";"26,0 ";"46 ";"30 ";"50 ";"GRV-S-30/16-SC ";"120,25 ";"S ";"2843 "
"420 ";"30 ";"20 ";"81,5 ";"26,0 ";"46 ";"36 ";"50 ";"GRV-S-30/20-SC ";"121,08 ";"S ";"2844 "
"420 ";"30 ";"25 ";"86,0 ";"26,5 ";"46 ";"46 ";"50 ";"GRV-S-30/25-SC ";"127,32 ";"S ";"2845 "
"420 ";"38 ";"10 ";"75,5 ";"24,5 ";"55 ";"22 ";"60 ";"GRV-S-38/10-SC ";"152,94 ";"S ";"2846 "
"420 ";"38 ";"12 ";"";"";"55 ";"24 ";"60 ";"GRV-S-38/12-SC ";"153,22 ";"S ";"2847 "
"420 ";"38 ";"14 ";"";"";"55 ";"27 ";"60 ";"GRV-S-38/14-SC ";"153,94 ";"S ";"2848 "
"420 ";"38 ";"16 ";"85,0 ";"26,0 ";"55 ";"30 ";"60 ";"GRV-S-38/16-SC ";"154,97 ";"S ";"2849 "
"420 ";"38 ";"20 ";"88,0 ";"28,0 ";"55 ";"36 ";"60 ";"GRV-S-38/20-SC ";"155,8 ";"S ";"2850 "
"420 ";"38 ";"25 ";"94,0 ";"29,0 ";"55 ";"46 ";"60 ";"GRV-S-38/25-SC ";"159,47 ";"S ";"2851 "
"420 ";"38 ";"30 ";"95,5 ";"29,5 ";"55 ";"50 ";"60 ";"GRV-S-38/30-SC ";"160,63 ";"S ";"2852 "
