"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"16 ";"G 3/8'' ";"M 24 x 1,5 ";"37,0 ";"12 ";"24 ";"30 ";"EGE-DKOS-16-G 3/8''-wd ";"43,25 ";"S ";"9418 "
"630 ";"16 ";"G 1/2'' ";"M 24 x 1,5 ";"37,0 ";"14 ";"27 ";"30 ";"EGE-DKOS-16-G 1/2''-wd ";"43,46 ";"S ";"9419 "
"420 ";"16 ";"G 3/4'' ";"M 24 x 1,5 ";"39,0 ";"16 ";"32 ";"30 ";"EGE-DKOS-16-G 3/4''-wd ";"57,45 ";"S ";"9420 "
"420 ";"20 ";"G 1/2'' ";"M 30 x 2 ";"38,0 ";"14 ";"27 ";"36 ";"EGE-DKOS-20-G 1/2''-wd ";"57,6 ";"S ";"9421 "
"420 ";"20 ";"G 3/4'' ";"M 30 x 2 ";"43,0 ";"16 ";"32 ";"36 ";"EGE-DKOS-20-G 3/4''-wd ";"57,78 ";"S ";"9422 "
"420 ";"20 ";"G 1'' ";"M 30 x 2 ";"55,0 ";"18 ";"41 ";"36 ";"EGE-DKOS-20-G 1''-wd ";"84,1 ";"S ";"9423 "
"420 ";"25 ";"G 3/4'' ";"M 36 x 2 ";"58,0 ";"16 ";"32 ";"46 ";"EGE-DKOS-25-G 3/4''-wd ";"84,25 ";"S ";"9424 "
"420 ";"25 ";"G 1'' ";"M 36 x 2 ";"48,0 ";"18 ";"41 ";"46 ";"EGE-DKOS-25-G 1''-wd ";"84,36 ";"S ";"9425 "
"420 ";"30 ";"G 1'' ";"M 42 x 2 ";"46,0 ";"18 ";"41 ";"50 ";"EGE-DKOS-30-G 1''-wd ";"99,7 ";"S ";"9426 "
"420 ";"30 ";"G 1 1/4'' ";"M 42 x 2 ";"51,0 ";"20 ";"50 ";"50 ";"EGE-DKOS-30-G 1 1/4''-wd ";"99,7 ";"S ";"9427 "
"420 ";"38 ";"G 1 1/2'' ";"M 52 x 2 ";"60,0 ";"22 ";"55 ";"60 ";"EGE-DKOS-38-G 1 1/2''-wd ";"148,28 ";"S ";"9428 "
