"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"12 ";"1/2'' ";"M 24 x 1,5 ";"16 ";"31,5 ";"9,5 ";"30 ";"13 x 2,0 ";"DKOS-16-DN 12 ";"11,8 ";"";"128 "
"16 ";"5/8'' ";"M 24 x 1,5 ";"16 ";"31,5 ";"11,0 ";"30 ";"13 x 2,0 ";"DKOS-16-DN 16 ";"17,5 ";"";"129 "
"10 ";"3/8'' ";"M 30 x 2 ";"20 ";"37,0 ";"7,0 ";"36 ";"16,3 x 2,4 ";"DKOS-20-DN 10 ";"18,9 ";"";"130 "
"12 ";"1/2'' ";"M 30 x 2 ";"20 ";"36,5 ";"9,5 ";"36 ";"16,3 x 2,4 ";"DKOS-20-DN 12 ";"17,5 ";"";"131 "
"16 ";"5/8'' ";"M 30 x 2 ";"20 ";"37,5 ";"12,5 ";"36 ";"16,3 x 2,4 ";"DKOS-20-DN 16 ";"15,8 ";"";"132 "
"19 ";"3/4'' ";"M 30 x 2 ";"20 ";"33,5 ";"14,5 ";"36 ";"16,3 x 2,4 ";"DKOS-20-DN 19 ";"25,5 ";"";"133 "
"12 ";"1/2'' ";"M 36 x 2 ";"25 ";"29,0 ";"9,5 ";"46 ";"21,3 x 2,4 ";"DKOS-25-DN 12 ";"28,9 ";"";"134 "
"16 ";"5/8'' ";"M 36 x 2 ";"25 ";"40,5 ";"12,5 ";"46 ";"21,3 x 2,4 ";"DKOS-25-DN 16 ";"26,5 ";"";"135 "
"19 ";"3/4'' ";"M 36 x 2 ";"25 ";"41,0 ";"14,5 ";"46 ";"21,3 x 2,4 ";"DKOS-25-DN 19 ";"23,9 ";"";"136 "
"25 ";"1'' ";"M 36 x 2 ";"25 ";"39,5 ";"20,0 ";"46 ";"22 x 2,5 ";"DKOS-25-DN 25 ";"35 ";"";"137 "
"19 ";"3/4'' ";"M 42 x 2 ";"30 ";"44,0 ";"14,5 ";"50 ";"25,3 x 2,4 ";"DKOS-30-DN 19 ";"35 ";"";"138 "
"25 ";"1'' ";"M 42 x 2 ";"30 ";"44,5 ";"20,0 ";"50 ";"25,3 x 2,4 ";"DKOS-30-DN 25 ";"27,5 ";"";"139 "
"31 ";"1 1/4'' ";"M 42 x 2 ";"30 ";"44,0 ";"23,0 ";"50 ";"25,3 x 2,4 ";"DKOS-30-DN 31 ";"64 ";"";"11631 "
"25 ";"1'' ";"M 52 x 2 ";"38 ";"50,5 ";"20,0 ";"60 ";"34 x 2,5 ";"DKOS-38-DN 25 ";"55 ";"";"140 "
"31 ";"1 1/4'' ";"M 52 x 2 ";"38 ";"49,0 ";"25,5 ";"60 ";"34 x 2,5 ";"DKOS-38-DN 31 ";"46 ";"";"141 "
"38 ";"1 1/2'' ";"M 52 x 2 ";"38 ";"40,5 ";"29,0 ";"60 ";"35 x 2,5 ";"DKOS-38-DN 38 ";"114 ";"";"142 "
"38 ";"1 1/2'' ";"M 68 x 2 ";"50 ";"49,0 ";"31,5 ";"80 ";"46 x 3,0 ";"DKOS-50-DN 38 ";"135 ";"";"143 "
