"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"420 ";"20 ";"14 ";"M 30 x 2 ";"55 ";"37,0 ";"27 ";"36 ";"27 ";"RED-DKOS-20/14-SC ";"48,6 ";"S ";"9289 "
"420 ";"20 ";"16 ";"M 30 x 2 ";"55 ";"36,5 ";"27 ";"36 ";"30 ";"RED-DKOS-20/16-SC ";"53,2 ";"S ";"9290 "
"420 ";"25 ";"6 ";"M 36 x 2 ";"53 ";"38,5 ";"32 ";"41 ";"17 ";"RED-DKOS-25/06-SC ";"57,19 ";"S ";"9291 "
"420 ";"25 ";"8 ";"M 36 x 2 ";"53 ";"38,5 ";"32 ";"41 ";"19 ";"RED-DKOS-25/08-SC ";"58,73 ";"S ";"9292 "
"420 ";"25 ";"10 ";"M 36 x 2 ";"54 ";"38,0 ";"32 ";"41 ";"22 ";"RED-DKOS-25/10-SC ";"60,38 ";"S ";"9293 "
"420 ";"25 ";"12 ";"M 36 x 2 ";"54 ";"38,0 ";"32 ";"41 ";"24 ";"RED-DKOS-25/12-SC ";"61,17 ";"S ";"9294 "
"420 ";"25 ";"14 ";"M 36 x 2 ";"57 ";"39,5 ";"32 ";"41 ";"27 ";"RED-DKOS-25/14-SC ";"65,55 ";"S ";"9295 "
"420 ";"25 ";"16 ";"M 36 x 2 ";"57 ";"39,0 ";"32 ";"41 ";"30 ";"RED-DKOS-25/16-SC ";"67,52 ";"S ";"9296 "
"420 ";"25 ";"20 ";"M 36 x 2 ";"61 ";"39,0 ";"32 ";"41 ";"36 ";"RED-DKOS-25/20-SC ";"76,53 ";"S ";"9297 "
"420 ";"30 ";"6 ";"M 42 x 2 ";"59 ";"44,0 ";"41 ";"50 ";"17 ";"RED-DKOS-30/06-SC ";"90,94 ";"S ";"9298 "
"420 ";"30 ";"8 ";"M 42 x 2 ";"59 ";"44,0 ";"41 ";"50 ";"19 ";"RED-DKOS-30/08-SC ";"92,99 ";"S ";"9299 "
"420 ";"30 ";"10 ";"M 42 x 2 ";"60 ";"43,5 ";"41 ";"50 ";"22 ";"RED-DKOS-30/10-SC ";"94,64 ";"S ";"9300 "
"420 ";"30 ";"12 ";"M 42 x 2 ";"60 ";"43,5 ";"41 ";"50 ";"24 ";"RED-DKOS-30/12-SC ";"97,48 ";"S ";"9301 "
"420 ";"30 ";"14 ";"M 42 x 2 ";"63 ";"45,0 ";"41 ";"50 ";"27 ";"RED-DKOS-30/14-SC ";"104,33 ";"S ";"9302 "
"420 ";"30 ";"16 ";"M 42 x 2 ";"63 ";"44,5 ";"41 ";"50 ";"30 ";"RED-DKOS-30/16-SC ";"105,87 ";"S ";"9303 "
"420 ";"30 ";"20 ";"M 42 x 2 ";"66 ";"44,5 ";"41 ";"50 ";"36 ";"RED-DKOS-30/20-SC ";"107,72 ";"S ";"9304 "
"420 ";"30 ";"25 ";"M 42 x 2 ";"69 ";"45,0 ";"41 ";"50 ";"46 ";"RED-DKOS-30/25-SC ";"114,46 ";"S ";"9305 "
"420 ";"38 ";"6 ";"M 52 x 2 ";"63 ";"47,0 ";"50 ";"60 ";"17 ";"RED-DKOS-38/06-SC ";"121,11 ";"S ";"9306 "
"420 ";"38 ";"8 ";"M 52 x 2 ";"63 ";"47,0 ";"50 ";"60 ";"19 ";"RED-DKOS-38/08-SC ";"124,17 ";"S ";"9307 "
"420 ";"38 ";"10 ";"M 52 x 2 ";"63 ";"47,0 ";"50 ";"60 ";"22 ";"RED-DKOS-38/10-SC ";"125,32 ";"S ";"9308 "
"420 ";"38 ";"12 ";"M 52 x 2 ";"63 ";"47,0 ";"50 ";"60 ";"24 ";"RED-DKOS-38/12-SC ";"127,13 ";"S ";"9309 "
"420 ";"38 ";"14 ";"M 52 x 2 ";"66 ";"48,5 ";"50 ";"60 ";"27 ";"RED-DKOS-38/14-SC ";"131,43 ";"S ";"9310 "
"420 ";"38 ";"16 ";"M 52 x 2 ";"66 ";"48,0 ";"50 ";"60 ";"30 ";"RED-DKOS-38/16-SC ";"132,96 ";"S ";"9311 "
"420 ";"38 ";"20 ";"M 52 x 2 ";"70 ";"48,0 ";"50 ";"60 ";"36 ";"RED-DKOS-38/20-SC ";"134,82 ";"S ";"9312 "
"420 ";"38 ";"25 ";"M 52 x 2 ";"73 ";"48,5 ";"50 ";"60 ";"46 ";"RED-DKOS-38/25-SC ";"146,68 ";"S ";"9313 "
"420 ";"38 ";"30 ";"M 52 x 2 ";"76 ";"49,0 ";"50 ";"60 ";"50 ";"RED-DKOS-38/30-SC ";"156,53 ";"S ";"9314 "
