"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Rohr A.D.  Tube O.D.  D3";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"16 ";"12 ";"12 ";"30 ";"24 ";"24 ";"24 ";"TRV-S-16/12/12 ";"86,14 ";"S ";"3039 "
"630 ";"16 ";"12 ";"16 ";"30 ";"24 ";"30 ";"24 ";"TRV-S-16/12/16 ";"88,22 ";"S ";"3040 "
"630 ";"16 ";"14 ";"16 ";"30 ";"27 ";"30 ";"24 ";"TRV-S-16/14/16 ";"90,95 ";"S ";"3041 "
"420 ";"16 ";"20 ";"16 ";"30 ";"36 ";"30 ";"27 ";"TRV-S-16/20/16 ";"112,8 ";"S ";"3042 "
"420 ";"20 ";"8 ";"20 ";"36 ";"19 ";"36 ";"27 ";"TRV-S-20/08/20 ";"110,8 ";"S ";"3043 "
"420 ";"20 ";"10 ";"20 ";"36 ";"22 ";"36 ";"27 ";"TRV-S-20/10/20 ";"110,88 ";"S ";"3044 "
"420 ";"20 ";"12 ";"20 ";"36 ";"24 ";"36 ";"27 ";"TRV-S-20/12/20 ";"110,7 ";"S ";"3045 "
"420 ";"20 ";"14 ";"20 ";"36 ";"27 ";"36 ";"27 ";"TRV-S-20/14/20 ";"113,5 ";"S ";"3046 "
"420 ";"20 ";"16 ";"20 ";"36 ";"30 ";"36 ";"27 ";"TRV-S-20/16/20 ";"113,52 ";"S ";"3047 "
"420 ";"20 ";"25 ";"20 ";"36 ";"46 ";"36 ";"36 ";"TRV-S-20/25/20 ";"177,34 ";"S ";"3048 "
"420 ";"25 ";"10 ";"25 ";"46 ";"22 ";"46 ";"36 ";"TRV-S-25/10/25 ";"182,4 ";"S ";"3049 "
"420 ";"25 ";"12 ";"25 ";"46 ";"24 ";"46 ";"36 ";"TRV-S-25/12/25 ";"182,5 ";"S ";"3050 "
"420 ";"25 ";"14 ";"25 ";"46 ";"27 ";"46 ";"36 ";"TRV-S-25/14/25 ";"184,36 ";"S ";"3051 "
"420 ";"25 ";"16 ";"25 ";"46 ";"30 ";"46 ";"36 ";"TRV-S-25/16/25 ";"184,36 ";"S ";"3052 "
"420 ";"25 ";"20 ";"25 ";"46 ";"36 ";"46 ";"36 ";"TRV-S-25/20/25 ";"185,48 ";"S ";"3053 "
"420 ";"25 ";"30 ";"25 ";"46 ";"50 ";"46 ";"41 ";"TRV-S-25/30/25 ";"235,54 ";"S ";"3054 "
"420 ";"30 ";"12 ";"30 ";"50 ";"24 ";"50 ";"41 ";"TRV-S-30/12/30 ";"222,5 ";"S ";"3055 "
"420 ";"30 ";"16 ";"30 ";"50 ";"30 ";"40 ";"41 ";"TRV-S-30/16/30 ";"222,74 ";"S ";"3056 "
"420 ";"30 ";"20 ";"30 ";"50 ";"36 ";"50 ";"41 ";"TRV-S-30/20/30 ";"223,97 ";"S ";"3057 "
"420 ";"30 ";"25 ";"30 ";"50 ";"46 ";"50 ";"41 ";"TRV-S-30/25/30 ";"233,27 ";"S ";"3058 "
"420 ";"30 ";"38 ";"30 ";"50 ";"60 ";"50 ";"50 ";"TRV-S-30/38/30 ";"316,46 ";"S ";"3059 "
"420 ";"38 ";"12 ";"38 ";"60 ";"24 ";"60 ";"50 ";"TRV-S-38/12/38 ";"309 ";"S ";"11760 "
"420 ";"38 ";"16 ";"38 ";"60 ";"30 ";"60 ";"50 ";"TRV-S-38/16/38 ";"309 ";"S ";"3060 "
"420 ";"38 ";"20 ";"38 ";"60 ";"36 ";"60 ";"50 ";"TRV-S-38/20/38 ";"309,94 ";"S ";"3061 "
"420 ";"38 ";"25 ";"38 ";"60 ";"46 ";"60 ";"50 ";"TRV-S-38/25/38 ";"318,85 ";"S ";"3062 "
"420 ";"38 ";"30 ";"38 ";"60 ";"50 ";"60 ";"50 ";"TRV-S-38/30/38 ";"323,9 ";"S ";"11761 "
