"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"18 ";"3/4''-16 UNF ";"31,0 ";"14,5 ";"11,2 ";"27 ";"32 ";"16,36 x 2,20 ";"GE-L-18-3/4''-UNF-SC ";"34,11 ";"L ";"4881 "
"315 ";"18 ";"7/8''-14 UNF ";"31,0 ";"14,5 ";"12,7 ";"27 ";"32 ";"19,18 x 2,46 ";"GE-L-18-7/8''-UNF-SC ";"34,11 ";"L ";"4882 "
"315 ";"18 ";"1 1/16''-12 UN ";"31,0 ";"14,5 ";"15,0 ";"32 ";"32 ";"23,47 x 2,95 ";"GE-L-18-1 1/16''-UN-SC ";"47,06 ";"L ";"4883 "
"160 ";"22 ";"3/4''-16 UNF ";"33,0 ";"16,5 ";"11,2 ";"32 ";"36 ";"16,36 x 2,20 ";"GE-L-22-3/4''-UNF-SC ";"49,77 ";"L ";"4884 "
"160 ";"22 ";"7/8''-14 UNF ";"33,0 ";"16,5 ";"12,7 ";"32 ";"36 ";"19,18 x 2,46 ";"GE-L-22-7/8''-UNF-SC ";"49,77 ";"L ";"4885 "
"160 ";"22 ";"1 1/16''-12 UN ";"33,0 ";"16,5 ";"15,0 ";"32 ";"36 ";"23,47 x 2,95 ";"GE-L-22-1 1/16''-UN-SC ";"48,17 ";"L ";"4886 "
"160 ";"22 ";"1 5/16''-12 UN ";"33,0 ";"16,5 ";"15,0 ";"41 ";"36 ";"29,74 x 2,95 ";"GE-L-22-1 5/16''-UN-SC ";"66,92 ";"L ";"4887 "
"160 ";"28 ";"7/8''-14 UNF ";"34,0 ";"17,5 ";"12,7 ";"41 ";"41 ";"19,18 x 2,46 ";"GE-L-28-7/8''-UNF-SC ";"82,61 ";"L ";"4888 "
"160 ";"28 ";"1 1/16''-12 UN ";"34,0 ";"17,5 ";"15,0 ";"41 ";"41 ";"23,47 x 2,95 ";"GE-L-28-1 1/16''-UN-SC ";"71,65 ";"L ";"4889 "
"160 ";"28 ";"1 5/16''-12 UN ";"34,0 ";"17,5 ";"15,0 ";"41 ";"41 ";"29,74 x 2,95 ";"GE-L-28-1 5/16''-UN-SC ";"70,8 ";"L ";"4890 "
"160 ";"28 ";"1 5/8''-12 UN ";"34,0 ";"17,5 ";"15,0 ";"50 ";"41 ";"37,46 x 3,00 ";"GE-L-28-1 5/8''-UN-SC ";"198,5 ";"L ";"4891 "
"160 ";"35 ";"1 1/16''-12 UN ";"39,0 ";"17,0 ";"15,0 ";"46 ";"50 ";"23,47 x 2,95 ";"GE-L-35-1 1/16''-UN-SC ";"170,38 ";"L ";"4892 "
"160 ";"35 ";"1 5/16''-12 UN ";"39,0 ";"17,5 ";"15,0 ";"46 ";"50 ";"29,74 x 2,95 ";"GE-L-35-1 5/16''-UN-SC ";"158,77 ";"L ";"4893 "
"160 ";"35 ";"1 5/8''-12 UN ";"39,0 ";"17,5 ";"15,0 ";"50 ";"50 ";"37,46 x 3,00 ";"GE-L-35-1 5/8''-UN-SC ";"153,43 ";"L ";"4894 "
"160 ";"42 ";"1 5/8''-12 UN ";"42,0 ";"19,0 ";"15,0 ";"55 ";"60 ";"37,46 x 3,00 ";"GE-L-42-1 5/8''-UN-SC ";"206,69 ";"L ";"4895 "
"160 ";"42 ";"1 7/8''-12 UN ";"42,0 ";"19,0 ";"15,0 ";"55 ";"60 ";"43,69 x 3,00 ";"GE-L-42-1 7/8''-UN-SC ";"206,69 ";"L ";"4896 "
