"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"18 ";"8 ";"M 26 x 1,5 ";"43 ";"28,0 ";"24 ";"32 ";"17 ";"RED-DKOL-18/08-SC ";"31,12 ";"L ";"9146 "
"400 ";"18 ";"10 ";"M 26 x 1,5 ";"44 ";"29,0 ";"24 ";"32 ";"19 ";"RED-DKOL-18/10-SC ";"31,17 ";"L ";"9147 "
"400 ";"18 ";"12 ";"M 26 x 1,5 ";"44 ";"29,0 ";"24 ";"32 ";"22 ";"RED-DKOL-18/12-SC ";"32,26 ";"L ";"9148 "
"400 ";"18 ";"15 ";"M 26 x 1,5 ";"45 ";"30,0 ";"24 ";"32 ";"27 ";"RED-DKOL-18/15-SC ";"34,31 ";"L ";"9149 "
"250 ";"22 ";"6 ";"M 30 x 2 ";"47 ";"32,0 ";"27 ";"36 ";"14 ";"RED-DKOL-22/06-SC ";"37,13 ";"L ";"9150 "
"250 ";"22 ";"8 ";"M 30 x 2 ";"47 ";"32,0 ";"27 ";"36 ";"17 ";"RED-DKOL-22/08-SC ";"35,98 ";"L ";"9151 "
"250 ";"22 ";"10 ";"M 30 x 2 ";"48 ";"33,0 ";"27 ";"36 ";"19 ";"RED-DKOL-22/10-SC ";"39,3 ";"L ";"9152 "
"250 ";"22 ";"12 ";"M 30 x 2 ";"48 ";"33,0 ";"27 ";"36 ";"22 ";"RED-DKOL-22/12-SC ";"39,42 ";"L ";"9153 "
"250 ";"22 ";"15 ";"M 30 x 2 ";"49 ";"34,0 ";"27 ";"36 ";"27 ";"RED-DKOL-22/15-SC ";"47,1 ";"L ";"9154 "
"250 ";"22 ";"18 ";"M 30 x 2 ";"50 ";"33,5 ";"27 ";"36 ";"32 ";"RED-DKOL-22/18-SC ";"52,26 ";"L ";"9155 "
"250 ";"28 ";"6 ";"M 36 x 2 ";"49 ";"34,0 ";"32 ";"41 ";"14 ";"RED-DKOL-28/06-SC ";"49,97 ";"L ";"9156 "
"250 ";"28 ";"8 ";"M 36 x 2 ";"49 ";"34,0 ";"32 ";"41 ";"17 ";"RED-DKOL-28/08-SC ";"52,59 ";"L ";"9157 "
"250 ";"28 ";"10 ";"M 36 x 2 ";"50 ";"35,0 ";"32 ";"41 ";"19 ";"RED-DKOL-28/10-SC ";"54,13 ";"L ";"9158 "
"250 ";"28 ";"12 ";"M 36 x 2 ";"50 ";"35,0 ";"32 ";"41 ";"22 ";"RED-DKOL-28/12-SC ";"54,25 ";"L ";"9159 "
"250 ";"28 ";"15 ";"M 36 x 2 ";"51 ";"36,0 ";"32 ";"41 ";"27 ";"RED-DKOL-28/15-SC ";"55,28 ";"L ";"9160 "
"250 ";"28 ";"18 ";"M 36 x 2 ";"52 ";"35,5 ";"32 ";"41 ";"32 ";"RED-DKOL-28/18-SC ";"58,39 ";"L ";"9161 "
"250 ";"28 ";"22 ";"M 36 x 2 ";"54 ";"37,5 ";"32 ";"41 ";"36 ";"RED-DKOL-28/22-SC ";"65,16 ";"L ";"9162 "
"250 ";"35 ";"6 ";"M 45 x 2 ";"52 ";"37,0 ";"41 ";"50 ";"14 ";"RED-DKOL-35/06-SC ";"73,95 ";"L ";"9163 "
"250 ";"35 ";"8 ";"M 45 x 2 ";"52 ";"37,0 ";"41 ";"50 ";"17 ";"RED-DKOL-35/08-SC ";"75,6 ";"L ";"9164 "
"250 ";"35 ";"10 ";"M 45 x 2 ";"53 ";"38,0 ";"41 ";"50 ";"19 ";"RED-DKOL-35/10-SC ";"79,69 ";"L ";"9165 "
"250 ";"35 ";"12 ";"M 45 x 2 ";"53 ";"38,0 ";"41 ";"50 ";"22 ";"RED-DKOL-35/12-SC ";"80,83 ";"L ";"9166 "
"250 ";"35 ";"15 ";"M 45 x 2 ";"54 ";"39,0 ";"41 ";"50 ";"27 ";"RED-DKOL-35/15-SC ";"84,93 ";"L ";"9167 "
"250 ";"35 ";"18 ";"M 45 x 2 ";"55 ";"38,5 ";"41 ";"50 ";"32 ";"RED-DKOL-35/18-SC ";"87,54 ";"L ";"9168 "
"250 ";"35 ";"22 ";"M 45 x 2 ";"57 ";"40,5 ";"41 ";"50 ";"36 ";"RED-DKOL-35/22-SC ";"88,68 ";"L ";"9169 "
"250 ";"35 ";"28 ";"M 45 x 2 ";"57 ";"40,5 ";"41 ";"50 ";"41 ";"RED-DKOL-35/28-SC ";"94,03 ";"L ";"9170 "
"250 ";"42 ";"6 ";"M 52 x 2 ";"55 ";"40,5 ";"50 ";"60 ";"14 ";"RED-DKOL-42/06-SC ";"102,58 ";"L ";"9171 "
"250 ";"42 ";"8 ";"M 52 x 2 ";"55 ";"40,5 ";"50 ";"60 ";"17 ";"RED-DKOL-42/08-SC ";"101,68 ";"L ";"9172 "
"250 ";"42 ";"10 ";"M 52 x 2 ";"56 ";"41,5 ";"50 ";"60 ";"19 ";"RED-DKOL-42/10-SC ";"101,68 ";"L ";"9173 "
"250 ";"42 ";"12 ";"M 52 x 2 ";"56 ";"41,5 ";"50 ";"60 ";"22 ";"RED-DKOL-42/12-SC ";"103,84 ";"L ";"9174 "
"250 ";"42 ";"15 ";"M 52 x 2 ";"58 ";"42,5 ";"50 ";"60 ";"27 ";"RED-DKOL-42/15-SC ";"105,9 ";"L ";"9175 "
"250 ";"42 ";"18 ";"M 52 x 2 ";"58 ";"42,0 ";"50 ";"60 ";"32 ";"RED-DKOL-42/18-SC ";"109,78 ";"L ";"9176 "
"250 ";"42 ";"22 ";"M 52 x 2 ";"60 ";"44,0 ";"50 ";"60 ";"36 ";"RED-DKOL-42/22-SC ";"111,69 ";"L ";"9177 "
"250 ";"42 ";"28 ";"M 52 x 2 ";"61 ";"44,0 ";"50 ";"60 ";"41 ";"RED-DKOL-42/28-SC ";"116,53 ";"L ";"9178 "
"250 ";"42 ";"35 ";"M 52 x 2 ";"65 ";"43,0 ";"50 ";"60 ";"50 ";"RED-DKOL-42/35-SC ";"122,85 ";"L ";"9179 "
