"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"3/4''-14 ";"1''-11 ";"51,0 ";"16,0 ";"24,5 ";"16,0 ";"41 ";"B ";"1050515-12-16 ";"35,74 ";"";"11171 "
"250 ";"3/4''-14 ";"1 1/4''-11 ";"55,0 ";"16,0 ";"26,5 ";"16,0 ";"55 ";"B ";"1050515-12-20 ";"97,15 ";"";"11172 "
"250 ";"3/4''-14 ";"1 1/2''-11 ";"57,0 ";"16,0 ";"28,5 ";"16,0 ";"60 ";"B ";"1050515-12-24 ";"120,67 ";"";"11173 "
"400 ";"1''-11 ";"3/4''-14 ";"47,0 ";"18,0 ";"22,0 ";"20,0 ";"41 ";"B ";"1050515-16-12 ";"33,23 ";"";"11174 "
"400 ";"1''-11 ";"1''-11 ";"49,5 ";"18,0 ";"24,5 ";"22,0 ";"41 ";"B ";"1050515-16-16 ";"24,35 ";"";"1865 "
"250 ";"1''-11 ";"1 1/4''-11 ";"57,0 ";"18,0 ";"26,5 ";"20,0 ";"55 ";"B ";"1050515-16-20 ";"95,51 ";"";"11175 "
"250 ";"1''-11 ";"1 1/2''-11 ";"59,0 ";"18,0 ";"28,5 ";"20,0 ";"60 ";"B ";"1050515-16-24 ";"117,6 ";"";"11176 "
"250 ";"1 1/4''-11 ";"1''-11 ";"52,0 ";"20,0 ";"24,5 ";"25,0 ";"50 ";"B ";"1050515-20-16 ";"60,84 ";"";"11177 "
"250 ";"1 1/4''-11 ";"1 1/4''-11 ";"58,0 ";"20,0 ";"27,0 ";"25,0 ";"50 ";"B ";"1050515-20-20 ";"47,9 ";"";"1866 "
"250 ";"1 1/4''-11 ";"1 1/2''-11 ";"60,0 ";"20,0 ";"28,5 ";"25,0 ";"60 ";"B ";"1050515-20-24 ";"116,83 ";"";"11178 "
"250 ";"1 1/2''-11 ";"1 1/4''-11 ";"58,0 ";"22,0 ";"26,5 ";"32,0 ";"55 ";"B ";"1050515-24-20 ";"91,37 ";"";"11179 "
"250 ";"1 1/2''-11 ";"1 1/2''-11 ";"58,0 ";"22,0 ";"27,5 ";"37,0 ";"55 ";"B ";"1050515-24-24 ";"61,5 ";"";"1867 "
"100 ";"2''-11 ";"2''-11 ";"64,5 ";"23,0 ";"30,5 ";"43,0 ";"70 ";"B ";"1050515-32-32 ";"90 ";"";"1868 "
