"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"3/4''-16 ";"21,0 ";"10,0 ";"4,0 ";"24 ";"DKJ-3/4''-DN 06 ";"17,5 ";"";"559 "
"08 ";"5/16'' ";"3/4''-16 ";"19,0 ";"10,0 ";"5,5 ";"24 ";"DKJ-3/4''-DN 08 ";"17,5 ";"";"560 "
"10 ";"3/8'' ";"3/4''-16 ";"19,0 ";"10,0 ";"7,0 ";"24 ";"DKJ-3/4''-DN 10 ";"11,85 ";"";"561 "
"12 ";"1/2'' ";"3/4''-16 ";"20,0 ";"10,0 ";"9,5 ";"24 ";"DKJ-3/4''-DN 12 ";"12,83 ";"";"562 "
"16 ";"5/8'' ";"3/4''-16 ";"20,0 ";"11,5 ";"9,5 ";"24 ";"DKJ-3/4''-DN 16 ";"19,5 ";"";"563 "
"19 ";"3/4'' ";"3/4''-16 ";"23,0 ";"11,0 ";"10,0 ";"24 ";"DKJ-3/4''-DN 19 ";"20,5 ";"";"564 "
"10 ";"3/8'' ";"7/8''-14 ";"23,5 ";"12,5 ";"7,0 ";"27 ";"DKJ-7/8''-DN 10 ";"13,25 ";"";"565 "
"12 ";"1/2'' ";"7/8''-14 ";"20,0 ";"11,5 ";"9,5 ";"27 ";"DKJ-7/8''-DN 12 ";"13,33 ";"";"566 "
"16 ";"5/8'' ";"7/8''-14 ";"21,0 ";"11,5 ";"12,5 ";"27 ";"DKJ-7/8''-DN 16 ";"14,1 ";"";"567 "
"19 ";"3/4'' ";"7/8''-14 ";"23,0 ";"12,5 ";"12,5 ";"27 ";"DKJ-7/8''-DN 19 ";"24,5 ";"";"568 "
"12 ";"1/2'' ";"1 1/16''-12 ";"22,0 ";"15,0 ";"9,5 ";"32 ";"DKJ-1 1/16''-DN 12 ";"25,9 ";"";"569 "
"16 ";"5/8'' ";"1 1/16''-12 ";"24,0 ";"14,0 ";"12,5 ";"32 ";"DKJ-1 1/16''-DN 16 ";"16,88 ";"";"570 "
"19 ";"3/4'' ";"1 1/16''-12 ";"22,0 ";"15,0 ";"14,5 ";"32 ";"DKJ-1 1/16''-DN 19 ";"19,68 ";"";"571 "
"25 ";"1'' ";"1 1/16''-12 ";"23,0 ";"14,5 ";"20,0 ";"32 ";"DKJ-1 1/16''-DN 25 ";"26,63 ";"";"572 "
"16 ";"5/8'' ";"1 5/16''-12 ";"26,5 ";"14,5 ";"12,5 ";"41 ";"DKJ-1 5/16''-DN 16 ";"33,8 ";"";"573 "
"19 ";"3/4'' ";"1 5/16''-12 ";"29,5 ";"14,0 ";"14,5 ";"41 ";"DKJ-1 5/16''-DN 19 ";"21,12 ";"";"574 "
"25 ";"1'' ";"1 5/16''-12 ";"28,0 ";"14,0 ";"20,0 ";"41 ";"DKJ-1 5/16''-DN 25 ";"31,14 ";"";"575 "
"31 ";"1 1/4'' ";"1 5/16''-12 ";"28,0 ";"14,0 ";"19,0 ";"41 ";"DKJ-1 5/16''-DN 31 ";"42 ";"";"576 "
"25 ";"1'' ";"1 5/8''-12 ";"32,5 ";"15,5 ";"20,0 ";"50 ";"DKJ-1 5/8''-DN 25 ";"39,07 ";"";"577 "
"31 ";"1 1/4'' ";"1 5/8''-12 ";"27,5 ";"15,5 ";"25,5 ";"50 ";"DKJ-1 5/8''-DN 31 ";"38,3 ";"";"578 "
"31 ";"1 1/4'' ";"1 7/8''-12 ";"31,5 ";"20,0 ";"25,5 ";"55 ";"DKJ-1 7/8''-DN 31 ";"98,5 ";"";"579 "
"38 ";"1 1/2'' ";"1 7/8''-12 ";"31,0 ";"18,5 ";"31,5 ";"55 ";"DKJ-1 7/8''-DN 38 ";"85,45 ";"";"580 "
"38 ";"1 1/2'' ";"2 1/2''-12 ";"43,0 ";"25,0 ";"31,5 ";"70 ";"DKJ-2 1/2''-DN 38 ";"250 ";"";"581 "
"51 ";"2'' ";"2 1/2''-12 ";"45,5 ";"25,0 ";"43,0 ";"70 ";"DKJ-2 1/2''-DN 51 ";"220 ";"";"582 "
