"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"12 ";"G 3/8'' ";"17,0 ";"36,5 ";"12 ";"22 ";"GE-SR-12-G 3/8''-wd-OMD ";"9,46 ";"S ";"4014 "
"630 ";"12 ";"G 1/2'' ";"17,5 ";"39,0 ";"14 ";"27 ";"GE-SR-12-G 1/2''-wd-OMD ";"15,18 ";"S ";"4015 "
"420 ";"12 ";"G 3/4'' ";"17,5 ";"41,0 ";"16 ";"32 ";"GE-SR-12-G 3/4''-wd-OMD ";"24,95 ";"S ";"4016 "
"630 ";"14 ";"G 1/4'' ";"17,0 ";"37,0 ";"12 ";"24 ";"GE-SR-14-G 1/4''-wd-OMD ";"23,85 ";"S ";"4017 "
"630 ";"14 ";"G 3/8'' ";"17,0 ";"39,0 ";"12 ";"24 ";"GE-SR-14-G 3/8''-wd-OMD ";"11,68 ";"S ";"4018 "
"630 ";"14 ";"G 1/2'' ";"19,0 ";"41,0 ";"14 ";"27 ";"GE-SR-14-G 1/2''-wd-OMD ";"13,21 ";"S ";"4019 "
"420 ";"14 ";"G 3/4'' ";"19,0 ";"43,0 ";"16 ";"32 ";"GE-SR-14-G 3/4''-wd-OMD ";"23,9 ";"S ";"4020 "
"630 ";"16 ";"G 1/4'' ";"17,5 ";"38,0 ";"12 ";"27 ";"GE-SR-16-G 1/4''-wd-OMD ";"19,14 ";"S ";"4021 "
"630 ";"16 ";"G 3/8'' ";"18,0 ";"38,5 ";"12 ";"27 ";"GE-SR-16-G 3/8''-wd-OMD ";"16,43 ";"S ";"4022 "
"630 ";"16 ";"G 1/2'' ";"18,5 ";"41,0 ";"14 ";"27 ";"GE-SR-16-G 1/2''-wd-OMD ";"16,33 ";"S ";"4023 "
"420 ";"16 ";"G 3/4'' ";"20,5 ";"45,0 ";"16 ";"32 ";"GE-SR-16-G 3/4''-wd-OMD ";"22,72 ";"S ";"4024 "
"420 ";"16 ";"G 1'' ";"22,5 ";"49,0 ";"18 ";"41 ";"GE-SR-16-G 1''-wd-OMD ";"34,38 ";"S ";"4025 "
"420 ";"20 ";"G 3/8'' ";"18,0 ";"40,5 ";"12 ";"32 ";"GE-SR-20-G 3/8''-wd-OMD ";"26,49 ";"S ";"4026 "
"420 ";"20 ";"G 1/2'' ";"20,5 ";"45,0 ";"14 ";"32 ";"GE-SR-20-G 1/2''-wd-OMD ";"23,93 ";"S ";"4027 "
"420 ";"20 ";"G 3/4'' ";"20,5 ";"47,0 ";"16 ";"32 ";"GE-SR-20-G 3/4''-wd-OMD ";"21,02 ";"S ";"4028 "
"420 ";"20 ";"G 1'' ";"22,5 ";"51,0 ";"18 ";"41 ";"GE-SR-20-G 1''-wd-OMD ";"32,01 ";"S ";"4029 "
"420 ";"20 ";"G 1 1/4'' ";"22,5 ";"53,0 ";"20 ";"50 ";"GE-SR-20-G 1 1/4''-wd-OMD ";"38,5 ";"S ";"4030 "
"420 ";"25 ";"G 1/2'' ";"23,0 ";"49,0 ";"14 ";"41 ";"GE-SR-25-G 1/2''-wd-OMD ";"35,53 ";"S ";"4031 "
"420 ";"25 ";"G 3/4'' ";"23,0 ";"51,0 ";"16 ";"41 ";"GE-SR-25-G 3/4''-wd-OMD ";"33,97 ";"S ";"4032 "
"420 ";"25 ";"G 1'' ";"23,0 ";"53,0 ";"18 ";"41 ";"GE-SR-25-G 1''-wd-OMD ";"33,53 ";"S ";"4033 "
"420 ";"25 ";"G 1 1/4'' ";"23,0 ";"55,0 ";"20 ";"50 ";"GE-SR-25-G 1 1/4''-wd-OMD ";"40,56 ";"S ";"4034 "
"420 ";"30 ";"G 3/4'' ";"25,5 ";"55,0 ";"16 ";"46 ";"GE-SR-30-G 3/4''-wd-OMD ";"40,93 ";"S ";"4035 "
"420 ";"30 ";"G 1'' ";"23,5 ";"55,0 ";"18 ";"46 ";"GE-SR-30-G 1''-wd-OMD ";"37,97 ";"S ";"4036 "
"420 ";"30 ";"G 1 1/4'' ";"23,5 ";"57,0 ";"20 ";"50 ";"GE-SR-30-G 1 1/4''-wd-OMD ";"38,17 ";"S ";"4037 "
"420 ";"30 ";"G 1 1/2'' ";"23,5 ";"59,0 ";"22 ";"55 ";"GE-SR-30-G 1 1/2''-wd-OMD ";"47,43 ";"S ";"4038 "
"420 ";"38 ";"G 1'' ";"26,0 ";"60,0 ";"18 ";"55 ";"GE-SR-38-G 1''-wd-OMD ";"59,2 ";"S ";"4039 "
"420 ";"38 ";"G 1 1/4'' ";"23,0 ";"62,0 ";"20 ";"55 ";"GE-SR-38-G 1 1/4''-wd-OMD ";"45,83 ";"S ";"4040 "
"420 ";"38 ";"G 1 1/2'' ";"26,0 ";"64,0 ";"22 ";"55 ";"GE-SR-38-G 1 1/2''-wd-OMD ";"46,21 ";"S ";"4041 "
"250 ";"38 ";"G 2'' ";"26,5 ";"65,5 ";"23 ";"70 ";"GE-SR-38-G 2''-wd-OMD ";"317,19 ";"S ";"4042 "
