"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"420 ";"25 ";"6 ";"M 36 x 2 ";"53 ";"38,5 ";"32 ";"41 ";"17 ";"RED-DKOS-25/06 ";"56,75 ";"S ";"9246 "
"420 ";"25 ";"8 ";"M 36 x 2 ";"53 ";"38,5 ";"32 ";"41 ";"19 ";"RED-DKOS-25/08 ";"58,29 ";"S ";"9247 "
"420 ";"25 ";"10 ";"M 36 x 2 ";"54 ";"38,0 ";"32 ";"41 ";"22 ";"RED-DKOS-25/10 ";"59,82 ";"S ";"9248 "
"420 ";"25 ";"12 ";"M 36 x 2 ";"54 ";"38,0 ";"32 ";"41 ";"24 ";"RED-DKOS-25/12 ";"60,33 ";"S ";"9249 "
"420 ";"25 ";"14 ";"M 36 x 2 ";"57 ";"39,5 ";"32 ";"41 ";"27 ";"RED-DKOS-25/14 ";"63,99 ";"S ";"9250 "
"420 ";"25 ";"16 ";"M 36 x 2 ";"57 ";"39,0 ";"32 ";"41 ";"30 ";"RED-DKOS-25/16 ";"65,96 ";"S ";"9251 "
"420 ";"25 ";"20 ";"M 36 x 2 ";"61 ";"39,0 ";"32 ";"41 ";"36 ";"RED-DKOS-25/20 ";"74,65 ";"S ";"9252 "
"420 ";"30 ";"6 ";"M 42 x 2 ";"59 ";"44,0 ";"41 ";"50 ";"17 ";"RED-DKOS-30/06 ";"90,5 ";"S ";"9253 "
"420 ";"30 ";"8 ";"M 42 x 2 ";"59 ";"44,0 ";"41 ";"50 ";"19 ";"RED-DKOS-30/08 ";"92,55 ";"S ";"9254 "
"420 ";"30 ";"10 ";"M 42 x 2 ";"60 ";"43,5 ";"41 ";"50 ";"22 ";"RED-DKOS-30/10 ";"94,08 ";"S ";"9255 "
"420 ";"30 ";"12 ";"M 42 x 2 ";"60 ";"43,5 ";"41 ";"50 ";"24 ";"RED-DKOS-30/12 ";"96,64 ";"S ";"9256 "
"420 ";"30 ";"14 ";"M 42 x 2 ";"63 ";"45,0 ";"41 ";"50 ";"27 ";"RED-DKOS-30/14 ";"102,77 ";"S ";"9257 "
"420 ";"30 ";"16 ";"M 42 x 2 ";"63 ";"44,5 ";"41 ";"50 ";"30 ";"RED-DKOS-30/16 ";"104,31 ";"S ";"9258 "
"420 ";"30 ";"20 ";"M 42 x 2 ";"66 ";"44,5 ";"41 ";"50 ";"36 ";"RED-DKOS-30/20 ";"105,84 ";"S ";"9259 "
"420 ";"30 ";"25 ";"M 42 x 2 ";"69 ";"45,0 ";"41 ";"50 ";"46 ";"RED-DKOS-30/25 ";"111,46 ";"S ";"9260 "
"420 ";"38 ";"6 ";"M 52 x 2 ";"63 ";"47,0 ";"50 ";"60 ";"17 ";"RED-DKOS-38/06 ";"120,67 ";"S ";"9261 "
"420 ";"38 ";"8 ";"M 52 x 2 ";"63 ";"47,0 ";"50 ";"60 ";"19 ";"RED-DKOS-38/08 ";"123,73 ";"S ";"9262 "
"420 ";"38 ";"10 ";"M 52 x 2 ";"63 ";"47,0 ";"50 ";"60 ";"22 ";"RED-DKOS-38/10 ";"124,76 ";"S ";"9263 "
"420 ";"38 ";"12 ";"M 52 x 2 ";"63 ";"47,0 ";"50 ";"60 ";"24 ";"RED-DKOS-38/12 ";"126,29 ";"S ";"9264 "
"420 ";"38 ";"14 ";"M 52 x 2 ";"66 ";"48,5 ";"50 ";"60 ";"27 ";"RED-DKOS-38/14 ";"129,87 ";"S ";"9265 "
"420 ";"38 ";"16 ";"M 52 x 2 ";"66 ";"48,0 ";"50 ";"60 ";"30 ";"RED-DKOS-38/16 ";"131,4 ";"S ";"9266 "
"420 ";"38 ";"20 ";"M 52 x 2 ";"70 ";"48,0 ";"50 ";"60 ";"36 ";"RED-DKOS-38/20 ";"132,94 ";"S ";"9267 "
"420 ";"38 ";"25 ";"M 52 x 2 ";"73 ";"48,5 ";"50 ";"60 ";"46 ";"RED-DKOS-38/25 ";"143,68 ";"S ";"9268 "
"420 ";"38 ";"30 ";"M 52 x 2 ";"76 ";"49,0 ";"50 ";"60 ";"50 ";"RED-DKOS-38/30 ";"152,37 ";"S ";"9269 "
