"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Rohr A.D.  Tube O.D.  D3";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L8";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"10 ";"15 ";"10 ";"21,0 ";"21,0 ";"21,0 ";"28,0 ";"28,0 ";"19 ";"TRV-L-10/15/10-OMD ";"53,97 ";"L ";"3267 "
"400 ";"12 ";"6 ";"12 ";"17,0 ";"17,0 ";"17,0 ";"24,0 ";"24,0 ";"17 ";"TRV-L-12/06/12-OMD ";"33,28 ";"L ";"3260 "
"400 ";"12 ";"8 ";"8 ";"17,0 ";"17,0 ";"17,0 ";"24,0 ";"24,0 ";"17 ";"TRV-L-12/08/08-OMD ";"33,85 ";"L ";"3261 "
"400 ";"12 ";"8 ";"12 ";"17,0 ";"17,0 ";"17,0 ";"24,0 ";"24,0 ";"17 ";"TRV-L-12/08/12-OMD ";"32,98 ";"L ";"3262 "
"400 ";"12 ";"10 ";"12 ";"17,0 ";"17,0 ";"17,0 ";"24,0 ";"24,0 ";"17 ";"TRV-L-12/10/12-OMD ";"32,6 ";"L ";"3264 "
"400 ";"12 ";"10 ";"10 ";"17,0 ";"17,0 ";"17,0 ";"24,0 ";"24,0 ";"17 ";"TRV-L-12/10/10-OMD ";"33,09 ";"L ";"3263 "
"400 ";"12 ";"12 ";"10 ";"";"";"";"";"";"17 ";"TRV-L-12/12/10-OMD ";"32,6 ";"L ";"3265 "
"400 ";"12 ";"15 ";"12 ";"21,0 ";"21,0 ";"21,0 ";"28,0 ";"28,0 ";"19 ";"TRV-L-12/15/12-OMD ";"53,26 ";"L ";"3268 "
"400 ";"12 ";"18 ";"12 ";"23,0 ";"22,5 ";"23,0 ";"30,0 ";"30,0 ";"24 ";"TRV-L-12/18/12-OMD ";"68,3 ";"L ";"3276 "
"400 ";"15 ";"6 ";"15 ";"21,0 ";"21,0 ";"21,0 ";"28,0 ";"28,0 ";"19 ";"TRV-L-15/06/15-OMD ";"54,4 ";"L ";"3269 "
"400 ";"15 ";"8 ";"15 ";"21,0 ";"21,0 ";"21,0 ";"28,0 ";"28,0 ";"19 ";"TRV-L-15/08/15-OMD ";"53,91 ";"L ";"3270 "
"400 ";"15 ";"10 ";"15 ";"21,0 ";"21,0 ";"21,0 ";"28,0 ";"28,0 ";"19 ";"TRV-L-15/10/15-OMD ";"53,23 ";"L ";"3271 "
"400 ";"15 ";"12 ";"12 ";"21,0 ";"21,0 ";"21,0 ";"28,0 ";"28,0 ";"19 ";"TRV-L-15/12/12-OMD ";"53,66 ";"L ";"3272 "
"400 ";"15 ";"12 ";"15 ";"21,0 ";"21,0 ";"21,0 ";"28,0 ";"28,0 ";"19 ";"TRV-L-15/12/15-OMD ";"52,77 ";"L ";"3273 "
"400 ";"15 ";"15 ";"12 ";"21,0 ";"21,0 ";"21,0 ";"28,0 ";"28,0 ";"19 ";"TRV-L-15/15/12-OMD ";"52,77 ";"L ";"3274 "
"250 ";"15 ";"22 ";"15 ";"28,0 ";"27,5 ";"28,0 ";"35,0 ";"35,0 ";"27 ";"TRV-L-15/22/15-OMD ";"86,65 ";"L ";"3275 "
"400 ";"18 ";"8 ";"18 ";"23,5 ";"24,0 ";"23,5 ";"31,0 ";"31,0 ";"24 ";"TRV-L-18/08/18-OMD ";"68,01 ";"L ";"3277 "
"400 ";"18 ";"10 ";"10 ";"23,5 ";"24,0 ";"24,0 ";"31,0 ";"31,0 ";"24 ";"TRV-L-18/10/10-OMD ";"69,19 ";"L ";"3278 "
"400 ";"18 ";"10 ";"18 ";"23,5 ";"24,0 ";"23,5 ";"31,0 ";"31,0 ";"24 ";"TRV-L-18/10/18-OMD ";"67,49 ";"L ";"3279 "
"400 ";"18 ";"12 ";"18 ";"23,5 ";"24,0 ";"23,5 ";"31,0 ";"31,0 ";"24 ";"TRV-L-18/12/18-OMD ";"67,05 ";"L ";"3280 "
"400 ";"18 ";"15 ";"18 ";"23,5 ";"24,0 ";"23,5 ";"31,0 ";"31,0 ";"24 ";"TRV-L-18/15/18-OMD ";"66,68 ";"L ";"3281 "
"400 ";"18 ";"18 ";"10 ";"23,5 ";"23,5 ";"24,0 ";"31,0 ";"31,0 ";"24 ";"TRV-L-18/18/10-OMD ";"67,49 ";"L ";"3282 "
"250 ";"22 ";"10 ";"22 ";"27,5 ";"28,0 ";"27,5 ";"35,0 ";"35,0 ";"27 ";"TRV-L-22/10/22-OMD ";"86,08 ";"L ";"3283 "
"250 ";"22 ";"12 ";"22 ";"27,5 ";"28,0 ";"27,5 ";"35,0 ";"35,0 ";"27 ";"TRV-L-22/12/22-OMD ";"85,49 ";"L ";"3284 "
"250 ";"22 ";"15 ";"15 ";"27,5 ";"28,0 ";"28,0 ";"35,0 ";"35,0 ";"27 ";"TRV-L-22/15/15-OMD ";"86,65 ";"L ";"3285 "
"250 ";"22 ";"15 ";"22 ";"27,5 ";"28,0 ";"27,5 ";"35,0 ";"35,0 ";"27 ";"TRV-L-22/15/22-OMD ";"84,99 ";"L ";"3286 "
"250 ";"22 ";"18 ";"18 ";"27,5 ";"27,5 ";"27,5 ";"35,0 ";"35,0 ";"27 ";"TRV-L-22/18/18-OMD ";"85,92 ";"L ";"3287 "
"250 ";"22 ";"18 ";"22 ";"27,5 ";"27,5 ";"27,5 ";"35,0 ";"35,0 ";"27 ";"TRV-L-22/18/22-OMD ";"84,62 ";"L ";"3288 "
"250 ";"22 ";"22 ";"15 ";"27,5 ";"27,5 ";"28,0 ";"35,0 ";"35,0 ";"27 ";"TRV-L-22/22/15-OMD ";"84,62 ";"L ";"11851 "
"250 ";"22 ";"22 ";"18 ";"27,5 ";"27,5 ";"27,5 ";"35,0 ";"35,0 ";"36 ";"TRV-L-22/22/18-OMD ";"84,62 ";"L ";"11853 "
"250 ";"28 ";"10 ";"28 ";"30,5 ";"31,0 ";"30,5 ";"38,0 ";"38,0 ";"36 ";"TRV-L-28/10/28-OMD ";"139,52 ";"L ";"3290 "
"250 ";"28 ";"12 ";"28 ";"30,5 ";"31,0 ";"30,5 ";"38,0 ";"38,0 ";"36 ";"TRV-L-28/12/28-OMD ";"138,64 ";"L ";"3291 "
"250 ";"28 ";"15 ";"28 ";"30,5 ";"31,0 ";"30,5 ";"38,0 ";"38,0 ";"36 ";"TRV-L-28/15/28-OMD ";"137,8 ";"L ";"3292 "
"250 ";"28 ";"18 ";"28 ";"30,5 ";"30,5 ";"30,5 ";"38,0 ";"38,0 ";"36 ";"TRV-L-28/18/28-OMD ";"137,14 ";"L ";"3293 "
"250 ";"28 ";"22 ";"22 ";"30,5 ";"30,5 ";"30,5 ";"38,0 ";"38,0 ";"36 ";"TRV-L-28/22/22-OMD ";"137,26 ";"L ";"3294 "
"250 ";"28 ";"22 ";"28 ";"30,5 ";"30,5 ";"30,5 ";"38,0 ";"38,0 ";"36 ";"TRV-L-28/22/28-OMD ";"136,24 ";"L ";"3295 "
"250 ";"28 ";"28 ";"22 ";"30,5 ";"30,5 ";"38,0 ";"38,0 ";"38,0 ";"36 ";"TRV-L-28/28/22-OMD ";"136,24 ";"L ";"11855 "
"250 ";"28 ";"35 ";"28 ";"37,5 ";"34,0 ";"37,5 ";"45,0 ";"45,0 ";"36 ";"TRV-L-28/35/28-OMD ";"172,55 ";"L ";"3296 "
"250 ";"35 ";"10 ";"35 ";"34,5 ";"38,0 ";"34,5 ";"45,0 ";"45,0 ";"41 ";"TRV-L-35/10/35-OMD ";"170,99 ";"L ";"11858 "
"250 ";"35 ";"12 ";"35 ";"34,5 ";"38,0 ";"34,5 ";"45,0 ";"45,0 ";"41 ";"TRV-L-35/12/35-OMD ";"170,99 ";"L ";"3297 "
"250 ";"35 ";"15 ";"35 ";"34,5 ";"38,0 ";"34,5 ";"45,0 ";"45,0 ";"41 ";"TRV-L-35/15/35-OMD ";"169,79 ";"L ";"3298 "
"250 ";"35 ";"18 ";"35 ";"34,5 ";"37,5 ";"34,5 ";"45,0 ";"45,0 ";"41 ";"TRV-L-35/18/35-OMD ";"166,35 ";"L ";"3299 "
"250 ";"35 ";"22 ";"35 ";"34,5 ";"37,5 ";"34,5 ";"45,0 ";"45,0 ";"41 ";"TRV-L-35/22/35-OMD ";"165,56 ";"L ";"3300 "
"250 ";"35 ";"28 ";"35 ";"34,5 ";"37,5 ";"34,5 ";"45,0 ";"45,0 ";"41 ";"TRV-L-35/28/35-OMD ";"165,7 ";"L ";"3301 "
"250 ";"35 ";"42 ";"35 ";"40,5 ";"40,0 ";"40,5 ";"51,0 ";"51,0 ";"50 ";"TRV-L-35/42/35-OMD ";"235,7 ";"L ";"3302 "
"250 ";"42 ";"12 ";"42 ";"40,0 ";"44,0 ";"40,0 ";"51,0 ";"51,0 ";"50 ";"TRV-L-42/12/42-OMD ";"255 ";"L ";"11862 "
"250 ";"42 ";"15 ";"42 ";"40,0 ";"44,0 ";"40,0 ";"51,0 ";"51,0 ";"50 ";"TRV-L-42/15/42-OMD ";"255 ";"L ";"3303 "
"250 ";"42 ";"18 ";"42 ";"40,0 ";"43,5 ";"40,0 ";"51,0 ";"51,0 ";"50 ";"TRV-L-42/18/42-OMD ";"251,52 ";"L ";"3304 "
"250 ";"42 ";"22 ";"42 ";"40,0 ";"43,5 ";"40,0 ";"51,0 ";"51,0 ";"50 ";"TRV-L-42/22/42-OMD ";"234,31 ";"L ";"11863 "
"250 ";"42 ";"28 ";"42 ";"40,0 ";"43,5 ";"40,0 ";"51,0 ";"51,0 ";"50 ";"TRV-L-42/28/42-OMD ";"234,06 ";"L ";"11864 "
"250 ";"42 ";"35 ";"42 ";"40,0 ";"40,5 ";"40,0 ";"51,0 ";"51,0 ";"50 ";"TRV-L-42/35/42-OMD ";"234,53 ";"L ";"11866 "
