Blatt;A;B;C;D;E;F
8-134;Spalte B;Spalte K;Spalte C;;;;
8-135;Spalte B;Spalte L;Spalte C;;;;
8-136;Spalte B;Spalte L;Spalte C;;;;
8-137;Spalte B;Spalte K;Spalte C;;;;
8-138;Spalte B;Spalte L;Spalte C;;;;
8-139;Spalte B;Spalte L;Spalte C;;;;
8-140;Spalte B;Spalte K;Spalte C;;;;
8-141;Spalte B;Spalte L;Spalte C;;;;
8-142;Spalte B;Spalte L;Spalte C;;;;
8-143;Spalte B;Spalte K;Spalte C;;;;
8-144;Spalte B;Spalte L;Spalte C;;;;
8-145;Spalte B;Spalte L;Spalte C;;;;
8-146;Spalte B;Spalte K;Spalte C;;;;
8-147;Spalte B;Spalte L;Spalte C;;;;
8-148;Spalte B;Spalte L;Spalte C;;;;
8-149;Spalte B;Spalte K;Spalte C;;;;
8-150;Spalte B;Spalte J;Spalte C;;;;
8-151;Spalte B;Spalte J;Spalte C;;;;
8-152;Spalte B;Spalte K;Spalte C;;;;
8-153;Spalte B;Spalte K;Spalte C;;;;
8-154;Spalte B;Spalte K;Spalte C;;;;
8-155;Spalte B;Spalte K;Spalte C;;;;
8-156;Spalte B;Spalte J;Spalte C;;;;
8-157;Spalte B;Spalte L;Spalte C;;;;
8-158;Spalte B;Spalte L;Spalte C;;;;
8-159;Spalte B;Spalte J;Spalte C;;;;
8-160;Spalte B;Spalte L;Spalte C;;;;
8-161;Spalte B;Spalte L;Spalte C;;;;
8-162;Spalte B;Spalte L;Spalte C;;;;
8-163;Spalte B;Spalte L;Spalte C;;;;
8-164;Spalte B;Spalte K;Spalte C;;;;
8-165;Spalte B;Spalte K;Spalte C;;;;
8-166;Spalte B;Spalte K;Spalte C;;;;
8-167;Spalte B;Spalte J;Spalte C;;;;
8-168;Spalte B;Spalte M;Spalte C;;;;
8-169;Spalte B;Spalte M;Spalte C;;;;
8-170;Spalte B;Spalte K;Spalte C;;;;
8-171;Spalte B;Spalte K;Spalte C;;;;
8-172;Spalte B;Spalte K;Spalte C;;;;
8-173;Spalte B;Spalte K;Spalte C;;;;
8-174;Spalte B;Spalte K;Spalte C;;;;
8-175;Spalte B;Spalte J;Spalte C;;;;
8-176;Spalte B;Spalte J;Spalte C;;;;
8-177;Spalte B;Spalte K;Spalte C;;;;
8-178;Spalte B;Spalte K;Spalte C;;;;
8-179;Spalte B;Spalte J;Spalte C;;;;
8-180;Spalte B;Spalte K;Spalte C;;;;
8-181;Spalte B;Spalte K;Spalte C;;;;
8-182;Spalte B;Spalte J;Spalte C;;;;
8-183;Spalte B;Spalte K;Spalte C;;;;
8-184;Spalte B;Spalte K;Spalte C;;;;
8-185;Spalte B;Spalte K;Spalte C;;;;
8-186;Spalte B;Spalte K;Spalte C;;;;
8-187;Spalte B;Spalte K;Spalte C;;;;
8-188;Spalte B;Spalte K;Spalte C;;;;
8-189;Spalte B;Spalte K;Spalte C;;;;
8-190;Spalte B;Spalte K;Spalte C;;;;
8-191;Spalte B;Spalte K;Spalte C;;;;
8-192;Spalte B;Spalte K;Spalte C;;;;
8-193;Spalte B;Spalte K;Spalte C;;;;
8-194;Spalte B;Spalte K;Spalte C;;;;
8-195;Spalte B;Spalte K;Spalte C;;;;
8-196;Spalte B;Spalte K;Spalte C;;;;
8-197;Spalte B;Spalte K;Spalte C;;;;
8-198;Spalte B;Spalte K;Spalte C;;;;
8-199;Spalte B;Spalte K;Spalte C;;;;
8-200;Spalte B;Spalte K;Spalte C;;;;
8-201;Spalte B;Spalte K;Spalte C;;;;
8-202;Spalte B;Spalte K;Spalte C;;;;
8-203;Spalte B;Spalte K;Spalte C;;;;
8-204;Spalte B;Spalte K;Spalte C;;;;
8-205;Spalte B;Spalte K;Spalte C;;;;
8-206;Spalte B;Spalte K;Spalte C;;;;
8-207;Spalte B;Spalte O;Spalte C;;;;
8-208;Spalte B;Spalte O;Spalte C;;;;
8-209;Spalte B;Spalte M;Spalte C;;;;
8-210;Spalte B;Spalte K;;;;;
8-211;Spalte B;Spalte K;;;;;
8-212;Spalte B;Spalte K;;;;;
8-213;Spalte B;Spalte N;Spalte C;;;;
8-214;Spalte B;Spalte N;Spalte C;;;;
8-215;Spalte B;Spalte M;Spalte C;;;;
8-216;Spalte B;Spalte N;Spalte C;;;;
8-217;Spalte B;Spalte N;Spalte C;;;;
8-218;Spalte B;Spalte M;Spalte C;;;;
8-219;Spalte B;Spalte K;;;;;
8-220;Spalte B;Spalte K;;;;;
8-221;Spalte B;Spalte K;;;;;
